Disease_Name,Disease_Url,Disease_Logo_Image_url,Disease_Logo_File_Name
Acne affecting the back images,https://dermnetnz.org/topics/acne-affecting-the-back-images/?stage=Live,https://dermnetnz.org/assets/manualthumbnails/acne/acne-back/preview/141__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,99f35ad775de72d4e560339e3257f227.jpg
Acne affecting the face images,https://dermnetnz.org/topics/acne-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/Screen-Shot-2018-01-25-at-8__FocusFillWzE1MCwxMTAsIngiLDFd.28.37-PM.png,494d5a1d33f19272b53660845bcc75b4.png
Acne and other follicular disorder images,https://dermnetnz.org/image-catalogue/acne-and-other-follicular-disorder-images/?stage=Live,https://dermnetnz.org/assets/Uploads/ocular-rosacea-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,e25e3316a6ce05faf4aa3866b02e31e4.jpg
Acquired dermal macular hyperpigmentation images,https://dermnetnz.org/topics/acquired-dermal-macular-hyperpigmentation-images/?stage=Live,https://dermnetnz.org/assets/Uploads/scaly/lp-pigmentosus1__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,856ff980c5c3bc12554d74ee07548811.jpg
Acral lentiginous melanoma images,https://dermnetnz.org/topics/acral-lentiginous-melanoma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/20160516-165503__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,b7634fa75641c24eb631ac5dc62ed9d0.JPG
Actinic keratosis affecting the face images,https://dermnetnz.org/topics/actinic-keratosis-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/248__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,28e679d6f5ecc7c6b096357ea22e79c6.jpg
Actinic keratosis affecting the hand images,https://dermnetnz.org/topics/actinic-keratosis-affecting-the-hand-images/?stage=Live,https://dermnetnz.org/assets/Uploads/393__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,d8660bb726c9dd3c39251f1d6a0983ab.jpg
Actinic keratosis affecting the legs and feet images,https://dermnetnz.org/topics/actinic-keratosis-leg-and-foot-images/?stage=Live,https://dermnetnz.org/assets/Uploads/478__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,37320aabd5021b70f9c7069a6f7ff181.jpg
Actinic keratosis affecting the scalp images,https://dermnetnz.org/topics/actinic-keratosis-scalp-images/?stage=Live,https://dermnetnz.org/assets/Uploads/418__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,1f29878b3c4355bab6b01c91530a6dc6.jpg
Actinic keratosis dermoscopy images,https://dermnetnz.org/topics/actinic-keratosis-dermoscopy-images/?stage=Live,https://dermnetnz.org/assets/Uploads/lesions/ak-face/actinic-keratosis-dermoscopy9__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,43e71704398c5929581d30a401a4370f.jpg
